# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	181	1524	+							Mmc1_0001	1344		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	181	1524	+	ABK42530.1			chromosomal replication initiator protein DnaA			Mmc1_0001	1344	447	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	1570	2700	+							Mmc1_0002	1131		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	1570	2700	+	ABK42531.1			DNA polymerase III, beta subunit			Mmc1_0002	1131	376	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	2711	3859	+							Mmc1_0003	1149		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	2711	3859	+	ABK42532.1			DNA replication and repair protein RecF			Mmc1_0003	1149	382	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	3859	5223	+							Mmc1_0004	1365		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	3859	5223	+	ABK42533.1			ATP binding protein			Mmc1_0004	1365	454	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	5220	5909	+							Mmc1_0005	690		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	5220	5909	+	ABK42534.1			hypothetical protein			Mmc1_0005	690	229	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	5916	8354	+							Mmc1_0006	2439		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	5916	8354	+	ABK42535.1			DNA gyrase subunit B			Mmc1_0006	2439	812	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	8555	9178	-							Mmc1_0007	624		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	8555	9178	-	ABK42536.1			hypothetical protein			Mmc1_0007	624	207	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	9638	10243	-							Mmc1_0008	606		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	9638	10243	-	ABK42537.1			hypothetical protein			Mmc1_0008	606	201	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	10453	10722	+							Mmc1_0009	270		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	10453	10722	+	ABK42538.1			flagellar biosynthetic protein FliQ			Mmc1_0009	270	89	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	10733	11533	+							Mmc1_0010	801		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	10733	11533	+	ABK42539.1			flagellar biosynthetic protein FliR			Mmc1_0010	801	266	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	11564	12631	+							Mmc1_0011	1068		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	11564	12631	+	ABK42540.1			flagellar biosynthetic protein FlhB			Mmc1_0011	1068	355	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	12800	13252	+							Mmc1_0012	453		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	12800	13252	+	ABK42541.1			regulatory protein RecX			Mmc1_0012	453	150	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	13357	15993	+							Mmc1_0013	2637		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	13357	15993	+	ABK42542.1			alanyl-tRNA synthetase			Mmc1_0013	2637	878	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	16227	17009	-							Mmc1_0014	783		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	16227	17009	-	ABK42543.1			phosphomethylpyrimidine kinase			Mmc1_0014	783	260	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	17290	18675	-							Mmc1_0015	1386		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	17290	18675	-	ABK42544.1			heat shock protein HslVU, ATPase subunit HslU			Mmc1_0015	1386	461	
gene	protein_coding	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	18810	20273	+							Mmc1_0016	1464		
CDS	with_protein	GCA_000014865.1	Primary Assembly	chromosome		CP000471.1	18810	20273	+	ABK42545.1			hypothetical protein			Mmc1_0016	1464	487	
