BAE48805.1	ABK46241.1	36.508	378	223	17	1	365	95	468	6.10e-62	202
BAE48806.1	ABK46240.1	47.848	604	298	17	18	621	7	593	0.0	561
BAE48808.1	ABK46236.1	49.402	251	126	1	9	259	2	251	6.16e-87	256
BAE48817.1	ABK43513.1	67.857	112	36	0	1	112	1	112	1.76e-54	162
BAE48817.1	ABK43487.1	66.964	112	37	0	1	112	1	112	2.88e-54	162
BAE48818.1	ABK43512.1	61.839	435	149	17	19	446	7	431	9.99e-171	483
BAE48818.1	ABK42704.1	51.435	418	186	17	35	446	25	431	2.39e-130	380
BAE48819.1	ABK42573.1	42.975	363	200	7	1	359	34	393	3.14e-97	291
BAE48820.1	ABK44124.1	54.617	509	218	13	302	798	962	1469	0.0	565
BAE48824.1	ABK42693.1	39.655	290	154	21	101	370	111	399	4.23e-59	194
BAE48831.1	ABK42957.1	54.133	859	381	13	11	861	4	857	0.0	947
BAE48835.1	ABK43965.1	33.355	1538	954	71	93	1591	109	1614	0.0	775
BAE48836.1	ABK44811.1	53.548	155	70	2	34	186	41	195	5.23e-52	163
BAE48839.1	ABK43283.1	71.778	613	171	2	1	612	1	612	0.0	872
BAE48839.1	ABK43439.1	38.611	619	318	62	3	596	4	585	1.72e-130	392
BAE48839.1	ABK43132.1	35.275	618	306	94	1	594	1	548	6.65e-93	293
BAE48841.1	ABK43432.1	53.632	468	209	8	4	464	2	468	5.21e-166	473
BAE48846.1	ABK42743.1	32.021	584	343	54	1	573	1	541	1.67e-76	251
BAE48846.1	ABK43117.1	34.114	598	332	62	1	567	1	567	1.69e-74	246
BAE48846.1	ABK43094.1	34.888	579	324	53	1	559	1	546	4.79e-72	239
BAE48846.1	ABK45718.1	38.653	401	223	23	1	384	1	395	2.10e-67	228
BAE48856.1	ABK44922.1	40.997	361	205	8	4	360	3	359	3.41e-88	268
BAE48856.1	ABK46223.1	38.147	367	223	4	4	366	3	369	5.31e-88	267
BAE48862.1	ABK43916.1	55.814	344	149	3	11	353	3	344	3.30e-137	392
BAE48863.1	ABK43917.1	60.498	281	110	1	7	286	2	282	5.97e-122	348
BAE48864.1	ABK44919.1	31.982	444	285	17	152	587	137	571	1.23e-54	192
BAE48864.1	ABK44476.1	30.534	524	339	25	75	587	201	710	1.15e-53	192
