# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	239	1336	+							amb0001	1098		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	239	1336	+	BAE48805.1			Predicted GTPase			amb0001	1098	365	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1352	3265	+							amb0002	1914		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	1352	3265	+	BAE48806.1			NAD/FAD-utilizing enzyme apparently involved in cell division			amb0002	1914	637	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	3320	3937	+							amb0003	618		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	3320	3937	+	BAE48807.1			Predicted S-adenosylmethionine-dependent methyltransferase involved in bacterial cell division			amb0003	618	205	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	3918	4715	+							amb0004	798		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	3918	4715	+	BAE48808.1			ATPase involved in chromosome partitioning			amb0004	798	265	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	5702	6118	+							amb0005	417		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	5702	6118	+	BAE48809.1			hypothetical protein			amb0005	417	138	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	6119	6610	+							amb0006	492		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	6119	6610	+	BAE48810.1			Uncharacterized protein			amb0006	492	163	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	7065	7997	+							amb0007	933		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	7065	7997	+	BAE48811.1			Thioredoxin domain-containing protein			amb0007	933	310	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	8006	8665	+							amb0008	660		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	8006	8665	+	BAE48812.1			Uncharacterized protein			amb0008	660	219	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	8677	8874	+							amb0009	198		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	8677	8874	+	BAE48813.1			Uncharacterized conserved protein			amb0009	198	65	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	8877	9326	+							amb0010	450		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	8877	9326	+	BAE48814.1			Uncharacterized protein conserved in bacteria			amb0010	450	149	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	9333	9806	+							amb0011	474		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	9333	9806	+	BAE48815.1			Uncharacterized conserved protein			amb0011	474	157	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	9900	11123	-							amb0012	1224		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	9900	11123	-	BAE48816.1			2-polyprenyl-6-methoxyphenol hydroxylase			amb0012	1224	407	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	11477	11815	+							amb0013	339		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	11477	11815	+	BAE48817.1			Nitrogen regulatory protein PII			amb0013	339	112	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	12202	13551	+							amb0014	1350		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	12202	13551	+	BAE48818.1			Ammonia permease			amb0014	1350	449	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	13972	15063	+							amb0015	1092		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	13972	15063	+	BAE48819.1			Aspartate/tyrosine/aromatic aminotransferase			amb0015	1092	363	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	15071	17485	+							amb0016	2415		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	15071	17485	+	BAE48820.1			DNA segregation ATPase FtsK/SpoIIIE			amb0016	2415	804	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	17556	18212	+							amb0017	657		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	17556	18212	+	BAE48821.1			Outer membrane lipoprotein-sorting protein			amb0017	657	218	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	18552	19343	+							amb0018	792		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	18552	19343	+	BAE48822.1			Exonuclease III			amb0018	792	263	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	19513	20154	-							amb0019	642		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	19513	20154	-	BAE48823.1			Response regulator consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain			amb0019	642	213	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	20317	21429	+							amb0020	1113		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	20317	21429	+	BAE48824.1			GTP cyclohydrolase II			amb0020	1113	370	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	21454	22608	+							amb0021	1155		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	21454	22608	+	BAE48825.1			hypothetical protein			amb0021	1155	384	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	22612	23262	-							amb0022	651		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	22612	23262	-	BAE48826.1			Predicted enzyme with a TIM-barrel fold			amb0022	651	216	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	23292	23891	+							amb0023	600		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	23292	23891	+	BAE48827.1			Thiamine monophosphate synthase			amb0023	600	199	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	23899	25428	-							amb0024	1530		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	23899	25428	-	BAE48828.1			TPR repeat protein			amb0024	1530	509	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	25496	26845	-							amb0025	1350		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	25496	26845	-	BAE48829.1			Hypothetical PE-PGRS family protein Rv1325c/MT1367 precursor			amb0025	1350	449	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	27113	27646	+							amb0026	534		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	27113	27646	+	BAE48830.1			Hypothetical protein RP420			amb0026	534	177	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	27722	30310	+							amb0027	2589		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	27722	30310	+	BAE48831.1			Leucyl-tRNA synthetase			amb0027	2589	862	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	30297	30872	+							amb0028	576		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	30297	30872	+	BAE48832.1			Predicted secreted protein			amb0028	576	191	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	30869	31891	+							amb0029	1023		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	30869	31891	+	BAE48833.1			DNA polymerase III			amb0029	1023	340	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	31891	32943	+							amb0030	1053		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	31891	32943	+	BAE48834.1			hypothetical protein			amb0030	1053	350	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	33060	37871	+							amb0031	4812		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	33060	37871	+	BAE48835.1			NAD-specific glutamate dehydrogenase			amb0031	4812	1603	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	37904	38482	+							amb0032	579		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	37904	38482	+	BAE48836.1			Phosphoheptose isomerase			amb0032	579	192	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	38439	38987	+							amb0033	549		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	38439	38987	+	BAE48837.1			hypothetical protein			amb0033	549	182	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	38999	39148	+							amb0034	150		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	38999	39148	+	BAE48838.1			hypothetical protein			amb0034	150	49	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	39159	40997	+							amb0035	1839		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	39159	40997	+	BAE48839.1			Predicted carbamoyl transferase			amb0035	1839	612	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	41021	42601	+							amb0036	1581		
CDS	with_protein	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	41021	42601	+	BAE48840.1			Uncharacterized protein			amb0036	1581	526	
gene	protein_coding	GCA_000009985.1	Primary Assembly	chromosome		AP007255.1	42589	43983	-							amb0037	1395		
